,a,b,lr,mean_loss
0,0.01,10.0,0.01,0.10470937462388606
0,0.01,10.0,0.003,0.15318116329718326
0,0.01,10.0,0.001,0.10426825193175371
0,0.01,10.0,0.0003,0.10417370978688849
0,0.01,10.0,0.0001,0.15280307548633523
0,0.01,10.0,3e-05,0.15289229408338448
0,0.01,10.0,1e-05,0.15320254738132158
0,0.01,1.0,0.01,0.1703119854564252
0,0.01,1.0,0.003,0.15308477578387744
0,0.01,1.0,0.001,0.1527955992606239
0,0.01,1.0,0.0003,0.15279451374342476
0,0.01,1.0,0.0001,0.15280556948720544
0,0.01,1.0,3e-05,0.15288872217786487
0,0.01,1.0,1e-05,0.15317979282227115
0,0.01,0.1,0.01,0.19075187921955963
0,0.01,0.1,0.003,0.15867711317496022
0,0.01,0.1,0.001,0.17145531392399815
0,0.01,0.1,0.0003,0.18467787307673608
0,0.01,0.1,0.0001,0.19684604684943738
0,0.01,0.1,3e-05,0.20301722670378894
0,0.01,0.1,1e-05,0.2098452662644179
